ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0046651,lymphocyte proliferation,290,-0.5895583784110411,-2.116537033065523,2.5131607420970826e-14,1.3996020641897025e-11,1.2892875347734411e-11,1574,"tags=31%, list=11%, signal=28%",Gnrh1/Ccdc88b/Btnl2/Cdkn1a/Cd80/Plcl2/Ccl5/Zc3h12d/Inpp5d/Nckap1l/Ebi3/Mzb1/Il1b/Mef2c/Tnfrsf14/Il27/Itgb2/Hells/Carmil2/Il4/Il21/Laptm5/Tnfrsf13b/Lep/Cd70/Clec4g/Tacr1/Btk/Clcf1/Crip3/Dock2/Gpr183/Card11/Itgal/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cxcr4/Cd3e/Icosl/Mpl/Syk/Ctla4/Prkcq/Coro1a/Ifng/Sash3/Tnfsf4/Il2/Tarm1/Il15/Sh2d2a/Zap70/Rasal3/Il7r/Cd4/Il10/Pla2g5/Gapt/Pla2g2d/Cd40/Tspan32/Slamf6/Rac2/Cd59b/Tnfrsf9/Cd6/Zbtb32/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Il9r/Cd79a/Cd209e/Slamf1/Tnfrsf13c/Btla/Il12a/Ccr7/Cd37/Cd22/Foxp3/Siglecg/Cd19/Lef1/Cr2
GO:0002443,leukocyte mediated immunity,353,-0.5590968107928894,-2.0479749396413616,3.0665031129726183e-14,1.5654498391725216e-11,1.4420634376005444e-11,1795,"tags=27%, list=12%, signal=25%",Arrb2/Myo1f/Tlr9/C3/Smad7/Adora3/Stxbp1/F2rl1/H2-M3/Tbx21/Scn11a/Il2rb/Spi1/Ncf1/Cd80/H2-DMa/Rftn1/Pram1/Il25/Inpp5d/Nckap1l/Pdcd1/Il1b/Was/Vav1/Itgb2/Calhm6/Il4/Il21/Nkg7/Pla2g3/Prf1/Lat2/Lep/Cd160/Cd70/Nppc/Nlrp6/Ccl3/Clec4g/Dennd1b/H2-Ea/Unc13d/Btk/Clcf1/Pou2f2/Fgr/Ptprc/Stap1/Ptpn6/Il13ra2/Lta/Icosl/Cd8a/Mpl/Syk/Cd96/Coro1a/Ifng/Sash3/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Igll1/Slc18a2/Myo1g/Il7r/Stx11/Sh2d1a/Gapt/Il31ra/Cd40/Il27ra/Gata1/Il21r/Slamf6/Hcst/Rac2/Pagr1a/F2/Cd40lg/Cd2/Il9r/Lat/Crhr1/Slamf1/Il12a/Fut7/Ccr6/Foxp3/Fcmr/Cd19/Fcer2a/Aicda/Cr2
GO:0032943,mononuclear cell proliferation,296,-0.5859230754310647,-2.1056922801973736,4.826144662426897e-14,2.2742278616943978e-11,2.094976642532032e-11,1574,"tags=37%, list=11%, signal=34%",Cd38/Slc11a1/Chrnb2/Spn/Dhps/Il6/Cd74/Xcl1/Pdcd1lg2/Gja1/Flt3l/Cd274/Cd209a/Il18/Cnn2/Irs2/Fgf10/Cfb/Elf4/Tlr9/H2-M3/Gnrh1/Ccdc88b/Btnl2/Cdkn1a/Cd80/Plcl2/Ccl5/Zc3h12d/Inpp5d/Nckap1l/Ebi3/Mzb1/Il1b/Mef2c/Tnfrsf14/Il27/Itgb2/Hells/Carmil2/Il4/Il21/Laptm5/Tnfrsf13b/Lep/Cd70/Clec4g/Tacr1/Btk/Clcf1/Crip3/Dock2/Gpr183/Card11/Itgal/Ptprc/Bcl2/Tnfrsf4/Ptpn6/Cxcr4/Cd3e/Icosl/Mpl/Syk/Ctla4/Prkcq/Coro1a/Ifng/Sash3/Tnfsf4/Il2/Tarm1/Il15/Sh2d2a/Zap70/Rasal3/Il7r/Cd4/Il10/Pla2g5/Gapt/Pla2g2d/Cd40/Tspan32/Slamf6/Rac2/Cd59b/Tnfrsf9/Cd6/Zbtb32/Cd40lg/Cd27/Bst1/Ikzf3/Flt3/Il9r/Cd79a/Cd209e/Slamf1/Tnfrsf13c/Btla/Il12a/Ccr7/Cd37/Cd22/Foxp3/Siglecg/Cd19/Lef1/Cr2
GO:0002366,leukocyte activation involved in immune response,276,-0.5931942452200301,-2.119388101329732,5.85765291611934e-14,2.563141554581934e-11,2.3611185927305096e-11,2227,"tags=34%, list=15%, signal=30%",Icam1/Batf/Slc11a1/Spn/Il6/Cd74/St3gal1/Lfng/D6Wsu163e/Il6ra/Il18/Cracr2a/Ptafr/Sucnr1/Myo1f/Tnfaip3/Smad7/Adora3/Stxbp1/F2rl1/H2-M3/Tbx21/Scn11a/Spi1/Plcl2/Ascl2/Clec4d/Pram1/Gadd45g/Nckap1l/Apbb1ip/Irf8/Nfkbid/Phf14/Il27/Itgb2/Dock10/Il4/Il21/Nkg7/Pla2g3/Cd69/Lat2/Myb/Cd160/Nppc/Ccl3/Irf4/H2-Ea/Unc13d/Pglyrp2/Stat4/Btk/Clcf1/Dock2/Gpr183/Itgal/Fgr/Ptprc/Ptpn6/Il13ra2/Icosl/Syk/Ly9/Coro1a/Ifng/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Eomes/Il33/Slc18a2/Pou2af1/Dock11/Il10/Stx11/Gapt/Cd40/Il27ra/Gata1/Slamf6/Rac2/Pagr1a/Cd40lg/Cdh17/Lat/Crhr1/Slamf1/Ccr7/Ccr6/Foxp3/Cd19/Lef1/Aicda
GO:0030239,myofibril assembly,77,0.7854909345952641,2.3940144535683556,6.466797816021901e-14,2.6410402280633445e-11,2.4328774099433974e-11,883,"tags=43%, list=6%, signal=41%",Myoz2/Csrp3/Myl2/Myh7/Mybph/Acta1/Mypn/Myom2/Neb/Casq1/Mybpc2/Myom3/Ttn/Klhl41/Mybpc1/Tnnt3/Lmod3/Myoz1/Nrap/Tnnt1/Tmod4/Tcap/Synpo2l/Xirp1/Myom1/Cavin4/Adprhl1/Tmod1/Actn2/Actc1/Mylk3/Flnc/Ldb3
GO:0002263,cell activation involved in immune response,280,-0.591277800624327,-2.118691398201092,8.21883684685646e-14,3.063666070576202e-11,2.822192519263711e-11,2227,"tags=34%, list=15%, signal=30%",Icam1/Batf/Slc11a1/Spn/Il6/Cd74/St3gal1/Lfng/D6Wsu163e/Il6ra/Gbf1/Il18/Cracr2a/Ptafr/Sucnr1/Myo1f/Tnfaip3/Smad7/Adora3/Stxbp1/F2rl1/H2-M3/Tbx21/Scn11a/Spi1/Plcl2/Ascl2/Clec4d/Pram1/Gadd45g/Nckap1l/Apbb1ip/Irf8/Nfkbid/Phf14/Il27/Itgb2/Dock10/Il4/Il21/Nkg7/Pla2g3/Cd69/Lat2/Myb/Cd160/Nppc/Ccl3/Irf4/H2-Ea/Unc13d/Pglyrp2/Stat4/Btk/Clcf1/Dock2/Gpr183/Itgal/Fgr/Ptprc/Ptpn6/Il13ra2/Icosl/Syk/Ly9/Coro1a/Ifng/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Eomes/Il33/Slc18a2/Pou2af1/Dock11/Il10/Stx11/Gapt/Cd40/Il27ra/Gata1/Slamf6/Rac2/Pagr1a/Cd40lg/Cdh17/Lat/Crhr1/Slamf1/Ccr7/Ccr6/Foxp3/Cd19/Lef1/Aicda
GO:0051146,striated muscle cell differentiation,324,0.5664075650178799,2.04232891100456,8.501848383903924e-14,3.063666070576202e-11,2.822192519263711e-11,975,"tags=22%, list=7%, signal=21%",Myoz2/Csrp3/Hnrnpu/Myl2/Myh7/Ccn4/Mybph/Ankrd2/Acta1/Mypn/Myom2/Neb/Casq1/Ryr1/Mybpc2/Myom3/Ttn/Klhl41/Myf6/Synb/Mybpc1/Tnnt3/Lmod3/Alpk2/Isl1/Mesp1/Myod1/Adra1b/Myoz1/Nrap/Tnnt1/Myo18b/Tmod4/Rpl3l/Trim63/Myog/Tcap/Synpo2l/Klhl40/Xirp1/Popdc3/Cav2/Myom1/Cavin4/Cacna1s/Adprhl1/Tmod1/Trim72/Six1/Actn2/Mylk2/Rarb/Prkg1/Rbm24/Sox6/Alpk3/Tbx5/Igf2/Ccn3/Kel/Bdnf/Avpr1a/Actc1/Mylk3/Flnc/Igfbp5/Stac3/Ldb3/Sgcd/Bves/Popdc2
GO:0002429,immune response-activating cell surface receptor signaling pathway,243,-0.5998483313676667,-2.114820534437078,1.42710961601068e-13,4.856929726489681e-11,4.4741138312475176e-11,1679,"tags=29%, list=11%, signal=26%",Cacnb3/Lpxn/Csk/Thy1/Ly96/Tnfaip3/C3/Sh2b2/F2rl1/Cmtm3/Nfam1/Btnl2/Txk/Plcl2/Rftn1/Pram1/Prkcb/Nckap1l/Nfkbid/Fpr2/Mef2c/Ubash3a/Lcp2/Carmil2/Bpifb1/Laptm5/Lat2/Gpr33/Cd160/Dennd1b/Btk/Sla2/Card11/Ptprc/Bcl2/Stap1/Ptpn6/Cd3e/Klhl6/Icosl/Cd8a/Lax1/Syk/Ctla4/Gcsam/Tlr1/Ifng/Themis/Fcho1/Zap70/Myo1g/Sh2d1a/Skap1/Itk/Tespa1/Lck/Cd8b1/Cd247/Cd79a/Lat/Trat1/Cd79b/Ccr7/Blk/Ms4a1/Cd22/Foxp3/Fcmr/Cd19/Fcrl5/Cr2
GO:0042692,muscle cell differentiation,437,0.5221735251412414,1.9342178969534698,1.7639350122174349e-13,5.6872978341284245e-11,5.239033573682918e-11,1925,"tags=25%, list=13%, signal=22%",Myoz2/Csrp3/Hnrnpu/Myl2/Myh7/Ccn4/Mybph/Ankrd2/Acta1/Mypn/Myom2/Neb/Casq1/Ryr1/Mybpc2/Myom3/Ttn/Klhl41/Myf6/Synb/Mybpc1/Tnnt3/Lmod3/Alpk2/Isl1/Mesp1/Fbxo40/Myod1/Adra1b/Myoz1/Nrap/Tnnt1/Myo18b/Tmod4/Rpl3l/Trim63/Sypl2/Myog/Tcap/Synpo2l/Klhl40/Xirp1/Popdc3/Cav2/Myom1/Cavin4/Cacna1s/Adprhl1/Tmod1/Trim72/Six1/Actn2/Mylk2/Rarb/Prkg1/Rbm24/Sox6/Alpk3/Tbx5/Igf2/Wnt7b/Ccn3/Wnt5b/Zbed6/Kel/Bdnf/Avpr1a/Actc1/Mylk3/Flnc/Igfbp5/Stac3/Ldb3/Olfm2/Sgcd/Bves/Popdc2/Cfd/Aplnr/Nfatc4/Bmpr2/Wnt4/Ankrd23/Speg/Lmod2/Homer1/Krt19/Id2/Nr3c1/Map2k4/Adra1a/Akap6/Pak1/Fgfr2/Ppara/Tbx3/Akap13/Ctnnb1/Tmod3/Smarcd3/Krt8/Atp11a/Casp1/Tmem182/Prox1/Pbrm1/Slc25a4/Casq2/Klf5
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,285,-0.5841185268503748,-2.1006284645658093,2.983909180072469e-13,9.139713818561973e-11,8.419335323351845e-11,1537,"tags=27%, list=10%, signal=24%",H2-M3/Tbx21/Il2rb/Cd80/H2-DMa/Ascl2/Rftn1/Il25/Gadd45g/Inpp5d/Nckap1l/Nfkbid/Pdcd1/Il1b/Mef2c/Was/Il27/Il4/Bach2/Prf1/Cd69/Cd70/Irf4/Clec4g/Dennd1b/H2-Ea/Unc13d/Stat4/Btk/Clcf1/Pou2f2/Ptprc/Ptpn6/Il13ra2/Lta/Klhl6/Icosl/Cd8a/Mpl/Prkcq/Ly9/Ifng/Sash3/Fcer1a/6030468B19Rik/Tnfsf4/Il2/Igll1/Il33/Myo1g/Il7r/Cd4/Stx11/Gapt/Il31ra/Cd40/Il27ra/Il21r/Slamf6/Pagr1a/Cd40lg/Cd27/Il9r/Slamf1/Tnfrsf13c/Il12a/Fut7/Ccr7/Ccr6/Foxp3/Fcmr/Cd19/Lef1/Fcer2a/Aicda/Cr2
GO:0010927,cellular component assembly involved in morphogenesis,136,0.6791692113834582,2.2550690210633015,9.579297202095234e-13,2.667398848183427e-10,2.457158483274284e-10,1856,"tags=37%, list=12%, signal=32%",Myoz2/Csrp3/Myl2/Myh7/Mybph/Acta1/Mypn/Myom2/Neb/Casq1/Cntn1/Mybpc2/Myom3/Ttn/Klhl41/Mybpc1/Tnnt3/Lmod3/Myoz1/Nrap/Tnnt1/Tmod4/Pfn4/Tcap/Synpo2l/Xirp1/Myom1/Cavin4/Adprhl1/Tmod1/Actn2/Actc1/Mylk3/Flnc/Sox30/Ldb3/Clasp1/Ccdc42/Gpc1/Pikfyve/Ankrd23/Lmod2/Krt19/Chn2/Akap13/Prx/Tmod3/Ihh/Krt8/Prox1
GO:0032989,cellular anatomical entity morphogenesis,136,0.6791692113834582,2.2550690210633015,9.579297202095234e-13,2.667398848183427e-10,2.457158483274284e-10,1856,"tags=37%, list=12%, signal=32%",Myoz2/Csrp3/Myl2/Myh7/Mybph/Acta1/Mypn/Myom2/Neb/Casq1/Cntn1/Mybpc2/Myom3/Ttn/Klhl41/Mybpc1/Tnnt3/Lmod3/Myoz1/Nrap/Tnnt1/Tmod4/Pfn4/Tcap/Synpo2l/Xirp1/Myom1/Cavin4/Adprhl1/Tmod1/Actn2/Actc1/Mylk3/Flnc/Sox30/Ldb3/Clasp1/Ccdc42/Gpc1/Pikfyve/Ankrd23/Lmod2/Krt19/Chn2/Akap13/Prx/Tmod3/Ihh/Krt8/Prox1
GO:0002377,immunoglobulin production,125,-0.7001884178371921,-2.267012167915615,1.0773057568980218e-12,2.8693804638075136e-10,2.643220211775879e-10,752,"tags=27%, list=5%, signal=26%",Mzb1/Nuggc/Il4/Il21/Btk/Clcf1/Pou2f2/Card11/Ptprc/Tnfrsf4/Il13ra2/Icosl/Lax1/Ifng/Sash3/6030468B19Rik/Tnfsf4/Il2/Il33/Il7r/Il10/Gapt/Cd40/Il27ra/Vpreb3/Pagr1a/Cd40lg/Cd27/Ccr6/Cd37/Cd22/Foxp3/Siglecg/Aicda
