cage,genotype,sex,number in cage,diet,timeline,Exp.Week,Week,date (start to end),food intitial (g),food final (g),food intake (total g),intake (total kcal),intake (kcal per day),intake (kcal per hour),discard,notes
3001,KO,M,3,KD,KD,3.00,10-c,8/16/19-8/19/19,125.80,113.70,12.10,77.44,25.81,1.08,,Jar J
3001,KO,M,3,KD,KD,3.29,11-a,8/19/19-8/21/19,133.60,124.70,8.90,56.96,28.48,1.19,,Jar J
3001,KO,M,3,KD,KD,3.57,11-b,8/21/19-8/23/19,135.20,126.20,9.00,57.60,28.80,1.20,,Jar J
3001,KO,M,3,KD,MRI/KD,4.00,11-c,8/23/19-8/26/19,138.60,124.40,14.20,90.88,30.29,1.26,,Jar J
3001,KO,M,3,KD,KD/SAC,4.29,12-a,8/26/19-8/28/19,132.90,124.90,8.00,51.20,25.60,1.07,,Jar J
3003,KO,M,2,NCD,MRI/NCD,-2.00,6,7/15/19-7/22/19,400.80,328.50,72.30,210.39,30.06,1.25,,
3003,KO,M,2,NCD,MRI/NCD,-1.00,7,7/22/19-7/29/19,400.50,330.20,70.30,204.57,29.22,1.22,,
3003,KO,M,2,KD,MRI/start KD,0.00,8-a,7/29/19-7/31/19,111.70,104.20,7.50,48.00,24.00,1.00,,Jar B
3003,KO,M,2,KD,KD,0.57,8-b,7/31/19-8/2/19,115.40,107.20,8.20,52.48,26.24,1.09,,Jar B
3003,KO,M,2,KD,KD,1.00,8-c,8/2/19-8/5/19,132.60,121.70,10.90,69.76,23.25,0.97,,Jar B
3003,KO,M,2,KD,MRI/KD,1.29,9-a,8/5/19-8/7/19,130.90,124.60,6.30,40.32,20.16,0.84,,Jar B
3003,KO,M,2,KD,ITT/KD,1.57,9-b,8/7/19-8/9/19,129.30,121.00,8.30,53.12,26.56,1.11,,Jar B
3003,KO,M,2,KD,KD,2.00,9-c,8/9/19-8/12/19,134.80,125.30,9.50,60.80,20.27,0.84,,Jar B
3003,KO,M,2,KD,MRI/KD,2.29,10-a,8/12/19-8/14/19,133.90,127.80,6.10,39.04,19.52,0.81,,Jar B
3003,KO,M,2,KD,KD,2.57,10-b,8/14/19-8/16/19,132.60,126.20,6.40,40.96,20.48,0.85,,Jar B
3003,KO,M,2,KD,KD,3.00,10-c,8/16/19-8/19/19,126.20,118.40,7.80,49.92,16.64,0.69,,Jar B
3003,KO,M,2,KD,KD,3.29,11-a,8/19/19-8/21/19,133.10,125.90,7.20,46.08,23.04,0.96,,Jar B
3003,KO,M,2,KD,KD,3.57,11-b,8/21/19-8/23/19,128.20,122.20,6.00,38.40,19.20,0.80,,Jar B
3003,KO,M,2,KD,MRI/KD,4.00,11-c,8/23/19-8/26/19,134.30,124.40,9.90,63.36,21.12,0.88,,Jar B
3003,KO,M,2,KD,KD/SAC,4.29,12-a,8/26/19-8/28/19,131.20,124.40,6.80,43.52,21.76,0.91,,Jar B
