RetainedRef	DuplicateRef
ENSMUST00000174850.7	ENSMUST00000165566.7
ENSMUST00000110087.8	ENSMUST00000048716.10
ENSMUST00000114882.8	ENSMUST00000114881.8
ENSMUST00000114882.8	ENSMUST00000178774.2
ENSMUST00000047436.10	ENSMUST00000095579.10
ENSMUST00000047436.10	ENSMUST00000115490.8
ENSMUST00000055673.1	ENSMUST00000217974.1
ENSMUST00000055673.1	ENSMUST00000164495.8
ENSMUST00000223554.1	ENSMUST00000045652.7
ENSMUST00000236386.1	ENSMUST00000170392.8
ENSMUST00000237985.1	ENSMUST00000236551.1
ENSMUST00000024056.9	ENSMUST00000105583.8
ENSMUST00000024056.9	ENSMUST00000105582.7
ENSMUST00000169774.1	ENSMUST00000163096.1
ENSMUST00000177068.7	ENSMUST00000175940.1
ENSMUST00000060433.9	ENSMUST00000177841.7
ENSMUST00000101362.7	ENSMUST00000113710.7
ENSMUST00000101362.7	ENSMUST00000073927.4
ENSMUST00000174699.7	ENSMUST00000113879.3
ENSMUST00000229179.1	ENSMUST00000229879.1
ENSMUST00000112104.7	ENSMUST00000036753.11
ENSMUST00000112104.7	ENSMUST00000171433.7
ENSMUST00000112104.7	ENSMUST00000163810.8
ENSMUST00000112104.7	ENSMUST00000112105.7
ENSMUST00000110671.2	ENSMUST00000044299.2
ENSMUST00000177218.7	ENSMUST00000039674.12
ENSMUST00000177218.7	ENSMUST00000080754.11
ENSMUST00000114465.8	ENSMUST00000114467.8
ENSMUST00000035120.5	ENSMUST00000215228.1
ENSMUST00000236456.1	ENSMUST00000182500.7
ENSMUST00000118504.8	ENSMUST00000078509.11
ENSMUST00000211115.1	ENSMUST00000093517.6
ENSMUST00000111752.9	ENSMUST00000086317.11
ENSMUST00000111752.9	ENSMUST00000168288.8
ENSMUST00000070463.9	ENSMUST00000189181.6
ENSMUST00000214416.1	ENSMUST00000054201.2
ENSMUST00000209871.2	ENSMUST00000210949.2
ENSMUST00000109616.8	ENSMUST00000109615.7
ENSMUST00000185553.1	ENSMUST00000229699.1
ENSMUST00000003860.12	ENSMUST00000108378.9
ENSMUST00000219647.1	ENSMUST00000061482.5
ENSMUST00000173760.8	ENSMUST00000178384.1
ENSMUST00000022271.13	ENSMUST00000164598.7
ENSMUST00000075884.7	ENSMUST00000236137.1
ENSMUST00000143277.7	ENSMUST00000201424.3
ENSMUST00000118828.7	ENSMUST00000148021.2
ENSMUST00000094681.10	ENSMUST00000102680.7
ENSMUST00000094681.10	ENSMUST00000102679.7
ENSMUST00000213365.1	ENSMUST00000102523.1
ENSMUST00000160899.7	ENSMUST00000159799.7
ENSMUST00000160899.7	ENSMUST00000115269.8
ENSMUST00000033713.10	ENSMUST00000114550.7
ENSMUST00000032347.10	ENSMUST00000117919.7
ENSMUST00000052258.13	ENSMUST00000031594.12
ENSMUST00000160393.7	ENSMUST00000159292.7
ENSMUST00000058997.14	ENSMUST00000236462.1
ENSMUST00000058997.14	ENSMUST00000167921.1
ENSMUST00000224495.1	ENSMUST00000224997.1
ENSMUST00000188350.6	ENSMUST00000060330.4
ENSMUST00000171719.7	ENSMUST00000168841.2
ENSMUST00000171719.7	ENSMUST00000055918.6
ENSMUST00000171719.7	ENSMUST00000165984.2
ENSMUST00000223287.1	ENSMUST00000222209.1
ENSMUST00000214400.1	ENSMUST00000216442.1
ENSMUST00000214400.1	ENSMUST00000217399.1
ENSMUST00000214400.1	ENSMUST00000214392.1
ENSMUST00000214400.1	ENSMUST00000213793.1
ENSMUST00000214400.1	ENSMUST00000213232.1
ENSMUST00000214400.1	ENSMUST00000072030.3
ENSMUST00000184439.7	ENSMUST00000178155.8
ENSMUST00000034296.14	ENSMUST00000214106.1
ENSMUST00000229598.1	ENSMUST00000230412.1
ENSMUST00000183070.7	ENSMUST00000182179.7
ENSMUST00000235114.1	ENSMUST00000234012.1
ENSMUST00000235114.1	ENSMUST00000234820.1
ENSMUST00000162060.8	ENSMUST00000162439.7
ENSMUST00000230264.2	ENSMUST00000096355.3
ENSMUST00000052702.6	ENSMUST00000203499.1
ENSMUST00000052702.6	ENSMUST00000163640.1
ENSMUST00000107115.7	ENSMUST00000107117.8
ENSMUST00000107115.7	ENSMUST00000107119.8
ENSMUST00000107115.7	ENSMUST00000178839.7
ENSMUST00000180502.7	ENSMUST00000180024.1
ENSMUST00000140575.7	ENSMUST00000208373.1
ENSMUST00000140575.7	ENSMUST00000185492.6
ENSMUST00000140575.7	ENSMUST00000149514.7
ENSMUST00000095267.5	ENSMUST00000216625.1
ENSMUST00000045517.9	ENSMUST00000086325.12
ENSMUST00000110020.7	ENSMUST00000021607.8
ENSMUST00000167927.7	ENSMUST00000168484.7
ENSMUST00000084926.8	ENSMUST00000130386.7
ENSMUST00000084926.8	ENSMUST00000155014.1
ENSMUST00000022915.10	ENSMUST00000110306.8
ENSMUST00000097772.9	ENSMUST00000053043.7
ENSMUST00000212000.1	ENSMUST00000034163.8
ENSMUST00000017590.8	ENSMUST00000106286.2
ENSMUST00000030289.8	ENSMUST00000091358.10
ENSMUST00000213928.1	ENSMUST00000213672.1
ENSMUST00000213928.1	ENSMUST00000049743.1
ENSMUST00000140206.7	ENSMUST00000183589.8
ENSMUST00000021271.13	ENSMUST00000166748.7
ENSMUST00000123614.7	ENSMUST00000146377.7
ENSMUST00000111106.7	ENSMUST00000111108.9
ENSMUST00000111106.7	ENSMUST00000010753.13
ENSMUST00000111106.7	ENSMUST00000111105.7
ENSMUST00000054946.9	ENSMUST00000164508.1
ENSMUST00000111825.9	ENSMUST00000081380.9
ENSMUST00000098552.9	ENSMUST00000064433.10
ENSMUST00000098552.9	ENSMUST00000215614.1
ENSMUST00000098552.9	ENSMUST00000164100.1
ENSMUST00000098552.9	ENSMUST00000215036.1
ENSMUST00000129342.7	ENSMUST00000066257.5
ENSMUST00000230747.1	ENSMUST00000229304.1
ENSMUST00000031574.9	ENSMUST00000159781.1
ENSMUST00000226167.1	ENSMUST00000227122.1
ENSMUST00000226167.1	ENSMUST00000227571.1
ENSMUST00000226167.1	ENSMUST00000228492.1
ENSMUST00000045864.3	ENSMUST00000181228.3
ENSMUST00000070116.11	ENSMUST00000123826.1
ENSMUST00000070116.11	ENSMUST00000125362.7
ENSMUST00000166909.1	ENSMUST00000201738.1
ENSMUST00000172881.7	ENSMUST00000067288.14
ENSMUST00000172881.7	ENSMUST00000172463.7
ENSMUST00000172881.7	ENSMUST00000173443.7
ENSMUST00000172881.7	ENSMUST00000181001.7
ENSMUST00000138966.8	ENSMUST00000171224.1
ENSMUST00000211945.1	ENSMUST00000098548.7
ENSMUST00000077453.12	ENSMUST00000044083.8
ENSMUST00000209851.1	ENSMUST00000209986.1
ENSMUST00000209851.1	ENSMUST00000098842.2
ENSMUST00000192683.1	ENSMUST00000194086.1
ENSMUST00000020721.14	ENSMUST00000170588.7
ENSMUST00000050323.5	ENSMUST00000215408.1
ENSMUST00000047498.14	ENSMUST00000110512.3
ENSMUST00000047498.14	ENSMUST00000213125.1
ENSMUST00000047498.14	ENSMUST00000215634.1
ENSMUST00000214446.1	ENSMUST00000063030.3
ENSMUST00000137862.7	ENSMUST00000113494.8
ENSMUST00000231111.1	ENSMUST00000230761.1
ENSMUST00000138161.7	ENSMUST00000128295.7
ENSMUST00000113468.7	ENSMUST00000201962.3
ENSMUST00000051239.12	ENSMUST00000171529.3
ENSMUST00000026585.13	ENSMUST00000117634.1
ENSMUST00000229626.1	ENSMUST00000230553.1
ENSMUST00000223736.1	ENSMUST00000172272.7
ENSMUST00000021844.14	ENSMUST00000167374.8
ENSMUST00000054661.7	ENSMUST00000159068.1
ENSMUST00000054661.7	ENSMUST00000161339.1
ENSMUST00000216804.1	ENSMUST00000087128.1
ENSMUST00000103162.7	ENSMUST00000100551.10
ENSMUST00000103162.7	ENSMUST00000166320.7
ENSMUST00000060270.12	ENSMUST00000120074.7
ENSMUST00000059647.11	ENSMUST00000109604.8
ENSMUST00000215128.1	ENSMUST00000080634.3
ENSMUST00000095143.8	ENSMUST00000063839.5
ENSMUST00000173934.7	ENSMUST00000172651.7
ENSMUST00000173934.7	ENSMUST00000173805.7
ENSMUST00000173934.7	ENSMUST00000173256.7
ENSMUST00000002259.12	ENSMUST00000109831.2
ENSMUST00000050962.4	ENSMUST00000169391.7
ENSMUST00000050962.4	ENSMUST00000177648.7
ENSMUST00000030263.8	ENSMUST00000106410.7
ENSMUST00000036572.3	ENSMUST00000229582.1
ENSMUST00000181366.2	ENSMUST00000039959.10
ENSMUST00000086614.11	ENSMUST00000112538.3
ENSMUST00000165730.7	ENSMUST00000164983.7
ENSMUST00000062370.8	ENSMUST00000187307.1
ENSMUST00000176810.7	ENSMUST00000111284.8
ENSMUST00000125417.8	ENSMUST00000140654.8
ENSMUST00000039928.6	ENSMUST00000219956.1
ENSMUST00000181860.7	ENSMUST00000094365.10
ENSMUST00000047383.9	ENSMUST00000113971.1
ENSMUST00000110905.8	ENSMUST00000063262.10
ENSMUST00000213910.1	ENSMUST00000074125.2
ENSMUST00000119823.7	ENSMUST00000121273.1
ENSMUST00000227357.1	ENSMUST00000228428.1
ENSMUST00000227357.1	ENSMUST00000186062.2
ENSMUST00000220008.1	ENSMUST00000121958.1
ENSMUST00000103157.9	ENSMUST00000103156.1
ENSMUST00000060947.13	ENSMUST00000115446.7
ENSMUST00000060947.13	ENSMUST00000115445.7
ENSMUST00000060947.13	ENSMUST00000179804.7
ENSMUST00000182015.7	ENSMUST00000182241.1
ENSMUST00000217519.1	ENSMUST00000068163.1
ENSMUST00000217479.1	ENSMUST00000068475.4
ENSMUST00000049304.13	ENSMUST00000088011.10
ENSMUST00000072666.3	ENSMUST00000209270.1
ENSMUST00000149320.8	ENSMUST00000128957.8
ENSMUST00000233357.1	ENSMUST00000038446.9
ENSMUST00000233357.1	ENSMUST00000233004.1
ENSMUST00000163421.7	ENSMUST00000118904.8
ENSMUST00000037728.12	ENSMUST00000121583.1
ENSMUST00000037728.12	ENSMUST00000208360.1
ENSMUST00000235086.1	ENSMUST00000165061.1
ENSMUST00000039581.13	ENSMUST00000100403.8
ENSMUST00000062758.10	ENSMUST00000115139.7
ENSMUST00000069568.3	ENSMUST00000215805.1
ENSMUST00000108109.7	ENSMUST00000038569.7
ENSMUST00000108109.7	ENSMUST00000108107.1
ENSMUST00000020215.15	ENSMUST00000119917.1
ENSMUST00000020215.15	ENSMUST00000170690.7
ENSMUST00000020215.15	ENSMUST00000172070.7
ENSMUST00000068891.11	ENSMUST00000110111.3
ENSMUST00000014647.8	ENSMUST00000166156.8
ENSMUST00000175683.7	ENSMUST00000177211.1
ENSMUST00000184016.2	ENSMUST00000184577.2
ENSMUST00000184016.2	ENSMUST00000163305.7
ENSMUST00000184016.2	ENSMUST00000168149.2
ENSMUST00000107050.7	ENSMUST00000029729.14
ENSMUST00000107050.7	ENSMUST00000107049.1
ENSMUST00000003191.13	ENSMUST00000168887.7
ENSMUST00000084241.11	ENSMUST00000105912.1
ENSMUST00000078830.10	ENSMUST00000170731.7
ENSMUST00000111888.2	ENSMUST00000199839.4
ENSMUST00000162833.7	ENSMUST00000159231.2
ENSMUST00000111525.7	ENSMUST00000028014.9
ENSMUST00000224378.1	ENSMUST00000230137.1
ENSMUST00000213567.1	ENSMUST00000230506.1
ENSMUST00000108689.7	ENSMUST00000007301.13
ENSMUST00000108689.7	ENSMUST00000165221.1
ENSMUST00000052375.7	ENSMUST00000111941.1
ENSMUST00000077988.7	ENSMUST00000166774.2
ENSMUST00000214303.1	ENSMUST00000217016.1
ENSMUST00000214303.1	ENSMUST00000133561.5
ENSMUST00000227323.1	ENSMUST00000227588.2
ENSMUST00000112235.7	ENSMUST00000112233.7
ENSMUST00000204645.2	ENSMUST00000101126.2
ENSMUST00000204645.2	ENSMUST00000032105.10
ENSMUST00000028801.7	ENSMUST00000110218.8
ENSMUST00000231360.1	ENSMUST00000023457.12
ENSMUST00000162860.7	ENSMUST00000202595.3
ENSMUST00000067854.9	ENSMUST00000165308.7
ENSMUST00000117460.7	ENSMUST00000121471.7
ENSMUST00000117460.7	ENSMUST00000117929.1
ENSMUST00000236397.1	ENSMUST00000235175.1
ENSMUST00000150791.7	ENSMUST00000141988.7
ENSMUST00000114571.7	ENSMUST00000077093.6
ENSMUST00000111087.9	ENSMUST00000090397.12
ENSMUST00000111087.9	ENSMUST00000111083.9
ENSMUST00000111087.9	ENSMUST00000111082.7
ENSMUST00000213756.1	ENSMUST00000215075.1
ENSMUST00000213756.1	ENSMUST00000214861.1
ENSMUST00000213756.1	ENSMUST00000061690.2
ENSMUST00000112155.8	ENSMUST00000006851.14
ENSMUST00000231716.1	ENSMUST00000099816.2
ENSMUST00000108551.2	ENSMUST00000055184.6
ENSMUST00000002099.10	ENSMUST00000118186.1
ENSMUST00000002099.10	ENSMUST00000239014.1
ENSMUST00000209637.1	ENSMUST00000084460.6
ENSMUST00000237815.1	ENSMUST00000237517.1
ENSMUST00000022909.9	ENSMUST00000201446.2
ENSMUST00000162226.8	ENSMUST00000163079.8
ENSMUST00000162226.8	ENSMUST00000160056.8
ENSMUST00000162226.8	ENSMUST00000159250.8
ENSMUST00000162226.8	ENSMUST00000172044.7
ENSMUST00000236959.1	ENSMUST00000086012.4
ENSMUST00000068423.9	ENSMUST00000122464.7
ENSMUST00000068423.9	ENSMUST00000122079.7
ENSMUST00000068423.9	ENSMUST00000169470.1
ENSMUST00000226194.1	ENSMUST00000095923.3
ENSMUST00000226610.1	ENSMUST00000166022.1
ENSMUST00000226610.1	ENSMUST00000228594.1
ENSMUST00000226610.1	ENSMUST00000023732.11
ENSMUST00000172171.7	ENSMUST00000001826.14
ENSMUST00000077856.12	ENSMUST00000107249.7
ENSMUST00000109095.7	ENSMUST00000109096.8
ENSMUST00000109095.7	ENSMUST00000180362.7
ENSMUST00000130604.7	ENSMUST00000148210.7
ENSMUST00000130604.7	ENSMUST00000130998.7
ENSMUST00000035983.11	ENSMUST00000075453.8
ENSMUST00000035983.11	ENSMUST00000099272.2
ENSMUST00000020687.14	ENSMUST00000101340.10
ENSMUST00000020687.14	ENSMUST00000118368.7
ENSMUST00000020687.14	ENSMUST00000121638.7
ENSMUST00000186485.6	ENSMUST00000070699.14
ENSMUST00000144331.7	ENSMUST00000133574.7
ENSMUST00000144331.7	ENSMUST00000176669.7
ENSMUST00000144331.7	ENSMUST00000129667.7
ENSMUST00000144331.7	ENSMUST00000152830.8
ENSMUST00000144331.7	ENSMUST00000169480.7
ENSMUST00000215687.2	ENSMUST00000216495.2
ENSMUST00000215687.2	ENSMUST00000071243.3
ENSMUST00000239439.1	ENSMUST00000213633.1
ENSMUST00000116316.9	ENSMUST00000036451.14
ENSMUST00000217114.2	ENSMUST00000213958.2
ENSMUST00000217114.2	ENSMUST00000071681.3
ENSMUST00000131476.7	ENSMUST00000136009.2
ENSMUST00000213759.1	ENSMUST00000072316.4
ENSMUST00000218764.1	ENSMUST00000220071.1
ENSMUST00000216461.1	ENSMUST00000217112.1
ENSMUST00000216461.1	ENSMUST00000074874.4
ENSMUST00000200948.1	ENSMUST00000202798.1
ENSMUST00000160292.7	ENSMUST00000230088.1
ENSMUST00000112886.8	ENSMUST00000112884.1
ENSMUST00000060481.8	ENSMUST00000115056.1
ENSMUST00000206999.1	ENSMUST00000166650.2
ENSMUST00000206999.1	ENSMUST00000049113.13
ENSMUST00000050073.12	ENSMUST00000144950.7
ENSMUST00000050073.12	ENSMUST00000029669.3
ENSMUST00000173896.7	ENSMUST00000173138.1
ENSMUST00000053896.7	ENSMUST00000131954.1
ENSMUST00000111230.7	ENSMUST00000111228.1
ENSMUST00000068994.13	ENSMUST00000118160.7
ENSMUST00000181284.7	ENSMUST00000181567.7
ENSMUST00000181284.7	ENSMUST00000180678.7
ENSMUST00000206058.1	ENSMUST00000164157.1
ENSMUST00000094583.1	ENSMUST00000185748.1
ENSMUST00000163481.2	ENSMUST00000234277.1
ENSMUST00000022681.10	ENSMUST00000153735.7
ENSMUST00000128353.7	ENSMUST00000148765.1
ENSMUST00000128353.7	ENSMUST00000140788.7
ENSMUST00000128353.7	ENSMUST00000043459.12
ENSMUST00000128353.7	ENSMUST00000135131.1
ENSMUST00000120201.7	ENSMUST00000121429.7
ENSMUST00000206686.1	ENSMUST00000037220.4
ENSMUST00000049053.8	ENSMUST00000207875.1
ENSMUST00000049053.8	ENSMUST00000216021.1
ENSMUST00000228951.1	ENSMUST00000228070.1
ENSMUST00000228951.1	ENSMUST00000228040.1
ENSMUST00000228951.1	ENSMUST00000049694.3
ENSMUST00000095476.5	ENSMUST00000170033.1
ENSMUST00000190426.1	ENSMUST00000178016.1
ENSMUST00000027172.12	ENSMUST00000191251.6
ENSMUST00000028931.9	ENSMUST00000109947.1
ENSMUST00000204518.2	ENSMUST00000213674.1
ENSMUST00000204518.2	ENSMUST00000071905.4
ENSMUST00000000542.13	ENSMUST00000120028.7
ENSMUST00000000542.13	ENSMUST00000117984.7
ENSMUST00000000542.13	ENSMUST00000119063.7
ENSMUST00000000542.13	ENSMUST00000121718.7
ENSMUST00000000542.13	ENSMUST00000120754.1
ENSMUST00000086876.6	ENSMUST00000184775.3
ENSMUST00000131417.8	ENSMUST00000236850.1
ENSMUST00000146601.7	ENSMUST00000202181.3
ENSMUST00000025997.6	ENSMUST00000237529.1
ENSMUST00000077853.4	ENSMUST00000222509.1
ENSMUST00000213579.1	ENSMUST00000082131.3
ENSMUST00000188887.1	ENSMUST00000180372.1
ENSMUST00000106255.7	ENSMUST00000069533.11
ENSMUST00000106255.7	ENSMUST00000106257.9
ENSMUST00000110424.8	ENSMUST00000103227.7
ENSMUST00000031383.13	ENSMUST00000111343.1
ENSMUST00000213390.1	ENSMUST00000075030.2
ENSMUST00000216030.1	ENSMUST00000080730.1
ENSMUST00000021854.13	ENSMUST00000178421.7
ENSMUST00000131462.7	ENSMUST00000130366.1
ENSMUST00000020253.14	ENSMUST00000139109.7
ENSMUST00000044664.11	ENSMUST00000169168.2
ENSMUST00000110480.7	ENSMUST00000110477.1
ENSMUST00000095144.9	ENSMUST00000108299.1
ENSMUST00000109734.7	ENSMUST00000005292.14
ENSMUST00000109734.7	ENSMUST00000109733.7
ENSMUST00000109734.7	ENSMUST00000164807.1
ENSMUST00000132915.1	ENSMUST00000181624.2
ENSMUST00000187510.6	ENSMUST00000063093.9
ENSMUST00000205384.1	ENSMUST00000206283.1
ENSMUST00000170998.8	ENSMUST00000093855.3
ENSMUST00000063562.8	ENSMUST00000224635.1
ENSMUST00000217397.1	ENSMUST00000215195.1
ENSMUST00000217397.1	ENSMUST00000216488.1
ENSMUST00000217397.1	ENSMUST00000070808.2
ENSMUST00000176652.7	ENSMUST00000088464.11
ENSMUST00000167723.7	ENSMUST00000193391.5
ENSMUST00000215611.1	ENSMUST00000079966.3
ENSMUST00000031160.15	ENSMUST00000120912.7
ENSMUST00000031160.15	ENSMUST00000117536.7
ENSMUST00000220346.1	ENSMUST00000164751.1
ENSMUST00000090785.8	ENSMUST00000098849.2
ENSMUST00000090785.8	ENSMUST00000035519.11
ENSMUST00000015712.14	ENSMUST00000168401.1
ENSMUST00000119993.7	ENSMUST00000121826.2
ENSMUST00000213294.1	ENSMUST00000216067.2
ENSMUST00000213294.1	ENSMUST00000072063.2
ENSMUST00000194677.5	ENSMUST00000016315.15
ENSMUST00000194677.5	ENSMUST00000159955.1
ENSMUST00000219261.1	ENSMUST00000207679.2
ENSMUST00000237245.1	ENSMUST00000169252.7
ENSMUST00000074346.11	ENSMUST00000113322.8
ENSMUST00000124331.7	ENSMUST00000140494.1
ENSMUST00000172510.3	ENSMUST00000173140.3
ENSMUST00000225323.1	ENSMUST00000096029.11
ENSMUST00000202313.1	ENSMUST00000044620.10
ENSMUST00000178515.7	ENSMUST00000111161.8
ENSMUST00000213258.1	ENSMUST00000078854.1
ENSMUST00000176511.7	ENSMUST00000102978.7
ENSMUST00000176511.7	ENSMUST00000006903.7
ENSMUST00000216144.2	ENSMUST00000099786.1
ENSMUST00000205240.1	ENSMUST00000167492.3
ENSMUST00000060212.12	ENSMUST00000121465.2
ENSMUST00000110083.7	ENSMUST00000047370.2
ENSMUST00000100542.9	ENSMUST00000188214.6
ENSMUST00000100542.9	ENSMUST00000191451.1
ENSMUST00000071169.8	ENSMUST00000038893.5
ENSMUST00000117222.1	ENSMUST00000122127.1
ENSMUST00000117222.1	ENSMUST00000122055.1
ENSMUST00000117222.1	ENSMUST00000119912.1
ENSMUST00000117222.1	ENSMUST00000051364.3
ENSMUST00000167180.7	ENSMUST00000046651.6
ENSMUST00000167180.7	ENSMUST00000230100.1
ENSMUST00000167180.7	ENSMUST00000230012.1
ENSMUST00000049911.15	ENSMUST00000173084.7
ENSMUST00000049911.15	ENSMUST00000173713.7
ENSMUST00000049911.15	ENSMUST00000172618.7
ENSMUST00000049911.15	ENSMUST00000174031.7
ENSMUST00000049911.15	ENSMUST00000174001.7
ENSMUST00000213507.1	ENSMUST00000213830.2
ENSMUST00000213507.1	ENSMUST00000215770.2
ENSMUST00000213507.1	ENSMUST00000213176.2
ENSMUST00000216407.1	ENSMUST00000078217.1
ENSMUST00000057907.9	ENSMUST00000167160.7
ENSMUST00000135643.7	ENSMUST00000178511.2
ENSMUST00000213300.1	ENSMUST00000100154.1
ENSMUST00000205428.1	ENSMUST00000171904.2
ENSMUST00000030805.13	ENSMUST00000105675.7
ENSMUST00000030805.13	ENSMUST00000105674.7
ENSMUST00000030805.13	ENSMUST00000105673.7
ENSMUST00000168720.7	ENSMUST00000190679.6
ENSMUST00000168720.7	ENSMUST00000041213.11
ENSMUST00000109842.8	ENSMUST00000184240.7
ENSMUST00000226701.1	ENSMUST00000086229.2
ENSMUST00000107976.8	ENSMUST00000069184.8
ENSMUST00000108298.8	ENSMUST00000176242.8
ENSMUST00000165952.8	ENSMUST00000217931.1
ENSMUST00000165952.8	ENSMUST00000040043.6
ENSMUST00000165952.8	ENSMUST00000229932.1
ENSMUST00000165952.8	ENSMUST00000230889.1
ENSMUST00000165952.8	ENSMUST00000229089.1
ENSMUST00000109249.8	ENSMUST00000146497.8
ENSMUST00000109249.8	ENSMUST00000088086.3
ENSMUST00000111123.8	ENSMUST00000111122.8
ENSMUST00000205701.1	ENSMUST00000108331.2
ENSMUST00000034533.6	ENSMUST00000214223.1
ENSMUST00000079735.11	ENSMUST00000009039.5
ENSMUST00000185526.6	ENSMUST00000190682.6
ENSMUST00000185526.6	ENSMUST00000089894.5
ENSMUST00000172733.1	ENSMUST00000024889.13
ENSMUST00000145553.7	ENSMUST00000150508.7
ENSMUST00000229802.1	ENSMUST00000229918.1
ENSMUST00000207307.1	ENSMUST00000207813.1
